client_id,process_step,Variation,time_diff_seconds
148217,1,Test,5.0
148347,1,Test,17.0
148369,1,Test,6.0
148445,1,Control,90.0
148448,1,Test,6.0
148850,1,Test,14.0
148954,1,Control,17.0
149108,1,Test,9.0
149192,1,Test,118.0
149265,1,Test,10.0
149593,1,Control,63.0
149635,1,Test,16.0
149685,1,Control,0.0
150095,1,Test,7.0
151250,1,Test,163.0
151444,1,Control,6.0
151897,1,Test,5.0
152356,1,Control,0.0
152661,1,Test,41.0
153841,1,Control,18.0
154143,1,Test,28.0
154147,1,Test,22.0
154150,1,Control,17.0
154458,1,Control,99.0
154640,1,Control,9.0
154658,1,Control,15.000000000000002
154782,1,Test,6.0
155526,1,Control,38.0
156105,1,Test,29.0
156894,1,Control,70.0
156945,1,Control,0.0
157106,1,Test,6.0
157209,1,Test,111.0
157852,1,Control,60.0
157871,1,Control,30.0
158201,1,Test,10.0
159558,1,Test,84.0
159617,1,Control,28.0
159687,1,Test,39.0
159728,1,Test,39.0
159823,1,Control,117.00000000000001
159908,1,Test,26.0
159970,1,Test,84.0
160085,1,Control,22.0
160144,1,Test,15.000000000000002
160616,1,Control,21.0
160654,1,Test,128.0
160938,1,Control,119.00000000000001
161074,1,Control,6.0
161108,1,Control,7.0
161127,1,Control,50.0
161440,1,Test,47.0
161491,1,Control,48.0
161771,1,Test,4.0
162388,1,Test,10.0
162575,1,Control,45.0
162894,1,Test,8.0
164324,1,Test,5.0
165301,1,Control,30.000000000000004
165428,1,Control,16.0
165890,1,Control,38.0
166154,1,Test,80.0
166289,1,Control,14.0
166315,1,Test,36.0
166702,1,Control,6.0
166715,1,Control,43.0
167496,1,Control,5.0
168266,1,Test,39.0
168539,1,Test,12.0
168727,1,Control,12.0
168940,1,Control,9.0
168989,1,Test,61.0
169185,1,Test,110.0
169560,1,Test,9.0
169784,1,Test,2.0
170507,1,Control,60.00000000000001
170660,1,Control,16.0
170798,1,Test,153.0
170865,1,Control,9.0
170895,1,Control,30.000000000000004
170896,1,Control,53.0
171096,1,Test,148.0
171484,1,Test,8.0
171492,1,Test,5.0
171583,1,Test,57.0
171597,1,Test,59.00000000000001
171971,1,Test,8.0
172858,1,Test,6.0
173084,1,Control,126.0
173122,1,Control,21.0
